respondent_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
R001,1,1,1,0,1,1,0,0,1,1
R002,1,1,0,1,1,0,0,0,0,0
R003,1,1,1,1,1,0,1,0,0,0
R004,1,1,1,1,0,0,1,0,0,0
R005,1,1,0,1,1,1,1,0,0,0
R006,1,1,0,0,1,0,1,0,0,0
R007,1,1,1,0,1,1,0,0,0,0
R008,0,1,1,1,1,1,0,0,0,0
R009,1,1,1,0,0,1,0,0,0,0
R010,0,1,1,0,0,1,1,0,0,0
R011,1,1,0,1,1,1,0,0,0,0
R012,1,1,1,0,1,0,0,1,0,0
R013,0,0,0,1,1,1,1,1,0,0
R014,1,1,1,1,0,0,0,0,0,0
R015,0,1,1,0,1,0,0,0,0,0
R016,1,1,0,0,1,1,0,0,0,0
R017,1,1,1,0,1,0,1,0,0,0
R018,1,1,1,1,0,0,1,1,1,0
R019,1,0,1,1,0,0,0,0,0,1
R020,1,1,1,0,1,1,1,0,0,0
R021,1,1,1,1,1,0,0,1,0,0
R022,1,0,0,1,0,0,0,1,0,0
R023,0,1,0,0,1,1,0,0,0,0
R024,1,1,1,1,0,0,0,0,1,0
R025,1,0,1,0,1,0,1,0,0,0
R026,1,1,0,1,0,0,1,0,0,0
R027,1,1,1,1,1,0,0,0,0,0
R028,0,1,0,1,0,1,0,0,1,0
R029,1,1,1,1,1,0,1,0,1,0
R030,1,0,0,0,0,1,0,0,0,0
R031,1,1,1,1,1,1,1,0,0,0
R032,0,0,1,0,1,0,0,0,0,0
R033,0,1,0,0,0,0,0,0,0,0
R034,0,0,0,1,1,1,0,0,0,0
R035,1,1,1,0,0,0,0,1,0,0
R036,1,1,1,0,1,1,1,0,0,0
R037,1,0,1,0,0,0,0,0,0,0
R038,0,0,0,1,0,0,0,0,0,0
R039,1,1,1,1,1,1,1,0,0,1
R040,1,1,1,1,0,0,0,0,0,0
R041,1,1,1,0,0,0,0,0,0,0
R042,1,1,1,1,1,0,0,0,0,0
R043,1,1,1,1,1,0,1,0,1,0
R044,1,1,1,1,0,0,1,1,1,0
R045,0,1,1,0,1,0,0,1,1,0
R046,1,1,1,1,0,0,1,0,0,0
R047,1,0,1,1,1,0,0,0,0,1
R048,1,1,1,0,0,0,1,0,0,0
R049,1,1,1,1,0,0,1,0,0,0
R050,1,1,0,0,1,0,0,0,0,0
R051,1,0,0,1,0,1,0,0,0,1
R052,1,1,1,0,1,0,0,0,1,0
R053,1,1,1,0,0,0,0,0,1,0
R054,1,1,1,1,1,1,1,1,0,1
R055,1,1,1,1,0,0,0,0,0,0
R056,0,1,1,1,1,0,0,1,0,0
R057,0,1,1,1,0,1,0,0,0,0
R058,1,1,0,1,0,1,1,0,1,1
R059,1,1,0,1,0,0,0,1,0,0
R060,1,1,0,1,1,0,0,0,1,0
R061,1,1,1,1,1,1,1,1,1,0
R062,1,1,1,0,0,0,0,0,0,0
R063,0,0,0,1,1,0,0,0,0,0
R064,1,1,0,0,0,1,1,0,0,0
R065,1,0,1,1,0,0,0,1,1,0
R066,1,0,0,1,0,0,0,0,0,0
R067,1,0,1,0,1,0,0,0,0,0
R068,1,0,1,1,0,0,0,0,0,0
R069,1,1,0,1,0,0,0,0,0,0
R070,1,1,1,1,1,1,0,0,0,1
R071,1,1,1,1,1,0,0,1,0,0
R072,1,1,1,1,1,1,1,0,1,0
R073,1,1,1,0,1,1,0,0,0,0
R074,1,1,1,0,0,1,0,1,0,0
R075,0,1,0,0,0,0,1,0,0,0
R076,0,1,1,0,0,0,0,0,0,0
R077,1,1,1,0,0,0,1,1,0,0
R078,0,1,1,0,0,0,0,0,0,0
R079,1,1,1,0,1,0,0,0,0,0
R080,1,1,1,1,0,0,1,0,1,0
